Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2016","2016","index","91.49","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2017","2017","index","91.19","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2018","2018","index","105.26","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2019","2019","index","102.49","Fc","Calculated data"
"QI","Production Indices","9","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2020","2020","index","94.69","Fc","Calculated data"
"QI","Production Indices","19","Bolivia (Plurinational State of)","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2016","2016","index","100.83","Fc","Calculated data"
"QI","Production Indices","19","Bolivia (Plurinational State of)","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2017","2017","index","100.82","Fc","Calculated data"
"QI","Production Indices","19","Bolivia (Plurinational State of)","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2018","2018","index","102.92","Fc","Calculated data"
"QI","Production Indices","19","Bolivia (Plurinational State of)","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2019","2019","index","102.76","Fc","Calculated data"
"QI","Production Indices","19","Bolivia (Plurinational State of)","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2020","2020","index","100.34","Fc","Calculated data"
"QI","Production Indices","21","Brazil","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2016","2016","index","96.95","Fc","Calculated data"
"QI","Production Indices","21","Brazil","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2017","2017","index","99.77","Fc","Calculated data"
"QI","Production Indices","21","Brazil","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2018","2018","index","99.53","Fc","Calculated data"
"QI","Production Indices","21","Brazil","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2019","2019","index","98.41","Fc","Calculated data"
"QI","Production Indices","21","Brazil","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2020","2020","index","97.2","Fc","Calculated data"
"QI","Production Indices","40","Chile","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2016","2016","index","98.22","Fc","Calculated data"
"QI","Production Indices","40","Chile","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2017","2017","index","96.25","Fc","Calculated data"
"QI","Production Indices","40","Chile","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2018","2018","index","105.58","Fc","Calculated data"
"QI","Production Indices","40","Chile","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2019","2019","index","103.43","Fc","Calculated data"
"QI","Production Indices","40","Chile","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2020","2020","index","101.58","Fc","Calculated data"
"QI","Production Indices","44","Colombia","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2016","2016","index","104.27","Fc","Calculated data"
"QI","Production Indices","44","Colombia","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2017","2017","index","79.24","Fc","Calculated data"
"QI","Production Indices","44","Colombia","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2018","2018","index","90.59","Fc","Calculated data"
"QI","Production Indices","44","Colombia","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2019","2019","index","99.25","Fc","Calculated data"
"QI","Production Indices","44","Colombia","434","Gross per capita Production Index Number (2014-2016 = 100)","1739","Vegetables and Fruit Primary","2020","2020","index","96.38","Fc","Calculated data"
